composicion,estrofa,caracter,verso,duracion,velocidad_m,minf0,maxf0,stMm,pendiente_v,st_t,pendiente_t
0,1,n,1,1.524313384241305,5.248264617175051,226.74837399090683,379.4559017155785,8.9140803363325,-0.015624998825706442,-5.681309787872191,-25.881475764103325
0,1,n,2,1.5738278864326471,5.083147953448316,199.41699068458536,314.5081365378306,7.887708070909339,-0.02084372757118552,-7.135886101373997,-23.58874106396572
0,1,n,3,1.4244865541434182,5.616058625987252,230.71773490696376,392.8101790810726,9.21244091313514,-0.015364033764057638,-6.4299939223773634,-31.998480978287542
0,1,n,4,1.391283472811904,5.750086273813999,198.35914026524964,329.5054068362029,8.786247132367341,-0.03479809510408576,-8.177552349460154,-32.556080949626036
0,1,n,5,1.3298628225188684,6.015658054751353,220.73879218150833,361.81496522252735,8.554942717403083,-0.02370835371069143,-8.320497962599227,-31.097097615621035
0,1,n,6,1.3730224119825731,5.826561846465721,199.84411713199606,296.53937201025883,6.832182744886212,-0.019821750731236206,-6.075367402026936,-21.18601286853987
0,1,n,7,1.3596724084577705,5.8837702009957855,223.6556753246607,282.1862535091858,4.024420107019498,-0.012214162163635366,-3.4968635134038655,-15.568445539986596
0,1,n,8,1.3744227519142758,5.820625414456882,190.0282957145748,439.3970844181484,14.51173249516594,0.006535012561873247,2.0977207327640346,9.141693272839206
0,1,n,9,1.1272649598147506,7.096823094115053,218.6910974647795,403.6519607128123,10.610608890525498,-0.020147658699118994,-5.947810946734407,-43.5696193358693
0,1,n,10,1.2636042357212904,6.331096219722183,190.48477029699112,309.7194458034596,8.415435723545906,-0.011401244265440667,-1.4112319159856237,-9.005637949468674
0,2,n,1,1.421740416814533,5.6269062237988035,281.5796630065404,436.5506237145532,7.59126987832448,-0.011462349100106786,-4.832901639381575,-21.89681709201295
0,2,n,2,1.3643738054344823,5.863495742981092,194.72372502071218,341.5697548577569,9.729018740894748,-0.03601374078619272,-9.635875881367651,-27.753359226296705
0,2,n,3,1.3315792448514223,6.007903796136925,274.2478009415515,402.79471417788164,6.654776385116257,-0.012916639106585357,-4.245901232828128,-20.937777149135055
0,2,n,4,1.319070386548102,6.064877266280943,202.94076857339408,353.8204043932509,9.62350239705394,-0.029887161931196303,-8.884149390911936,-23.931458746641887
0,2,n,5,1.5078998738588858,5.305392048032405,251.9392070243281,410.176731116759,8.438039981499145,-0.012374705664162074,-5.593366960201258,-23.438670282853035
0,2,n,6,1.3843497332589934,5.7788865109733845,194.84204002427367,331.0747507619285,9.178223939668705,-0.029333200052186436,-8.87045653181687,-27.022007622844626
0,2,n,7,1.3631992749409534,5.868547722303123,227.12583573076935,359.6931948253037,7.95930050190406,-0.010272757681130302,-2.913554638341978,-15.587416579344076
